BAHA,0,0,0,0,0,4.4,3.8,40,13.4,22,1.4,13.4,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,13.2,0,6,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,2,0,0,0.4,0,0,0,11.02,0.22,1.22,0,0.6,0,0,13,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,1.62,0.28,0,0.02,0,0,0.02,0,0,25.22,0,0.06,0,0.4,0,0.1,3.6,0,0,0,0,6.02,0.1,0,0,0,0,0,0,0,0,0.8,0,0,0,0,15.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,1,6.4,0.04,12.2,0,0,0,0,0,0,0,0,1.4,7.02,0,0,0,0.4,0,0,0,1.4,0,3,1.4,0.6,0,0,0,0,0,0,7.6,1,0
DISP,0,1,46,0,43,0,0,0,0,0,0,0,0.04,0,3.2,0,0,0,0,0,0,2,0,0,28.02,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,22.2,0,3.2,2.4,0,0.4,0,4,0,0,0,0,11,0,18,0,6.4,3.6,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,37,8,0,0,84,0,20,14,0,32,0,0.2,52,0,0,0,0,0,0,2,11.6,19,3.24,2.52,3,2.4,22.04,0.02,47,4.02,13,0.02,0,20,0,0,20.24,16.2,0,0,0.2,0,46,34,0,0,8,0,0,0,0,0,0,0,0,0.04,0,0,0,0.8,0,52.8,13.22,1.2,35,0.06,0,0,0.04,2.86,46.2,2.6,0.84,0,0,0.6,49,0,0.62,1.22,0,52.8,1.02,3.44,0,0,0.02,1.4,0,0,28.02,0,39,0,19.04,51.2,0,8,35.6,0.2,0,1,1,0.62,0,1.62,0,13,0.62,12.2,0,0,24.4,3,34,40,0.2,0,0,13.6,0,0,0,0,0,0,0,5,2,0,0,0,0,0,8,0,0.4,7.4,0,30,5.3,0,0,0,0,22.6,0,0,0,0,14,42.6,25,0,14.8,16,21,33.1,0,0,0,0,8,2.6,14,0.02,1,0.2,0.02,0,0,0.02,10.4,0,0,34,0,9.2,37,0,0,0,30,11.4,0,0,5,24.02,0,2,1,0,49.6,3.6,0,19,55,43,2.2,16,0
FICA4,0.2,0,0.02,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,0,0,0,0,0,0,2.2,22.6,0,0,0,0,0,0,0.2,2,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.22,0,0,0
ILVO,0,0,0,0,0,0,0,1.4,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.6,0,0,0,0,0,6.4,4,0,0,0,0,0,0,0,3.4,3,0,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.4,0.2,0,0,0,52.5,0,8.2,2.8,0,0,0,0,0,0,0,0,0,0,0,0.02,0,4.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPSA,18.6,0,0.2,41,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0.4,0,0,0,0,0.6,0,1.8,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0.06,0,0,0,0,0,0,0,6.64,0,0,0,0.4,0,0.04,0.22,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,1.06,0,0,0.28,0,0,4.44,0,0,0.1,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JURO,10.2,86,80,16,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,60.2,87.4,0,0,78,0,0,0,0,0,89.2,48,0,85.6,0,0,33,0,0,0,0,0,0,0,52.6,94.4,0,0,0,0,0,0,70,0,0,0,90,2,0,26,22,0,0,0,6,0.2,0,76,0,53,0,69,13,18.2,28,0,0,15.6,4,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,0,100,0,0,12,0,0,0,0,0,51,0,0,0,0,0,21.6,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,25.02,0.02,57,0,0.2,0,66,0,0,0,0,0,0,0,0,0,52.4,15.2,90,72,90,0,63,0,0,42.2,40,50,0,49,17.22,0.2,6,1.02,26.6,22.2,84,0,0,73,94,4,35.2,75.6,0,0.2,0,0,0,1.6,82.6,19.82,0,91.4,80.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,12.4,4.4,33,0,0,0,0,64,0,0,0,0,0,0,0.4,0,0,0,0,8,0.4,0,0,0,40,35,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,10,0,0,0,0.02,1.2,0,0,0,0,0.6,28.4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0
KOVI,0,0,5.2,0.6,0,17,4.4,3.4,12,5.8,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.14,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LYLI2,0,0,7.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,18,3.2,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.44,1.24,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOCE2,0.6,0,0,0.4,0,34,19,31,26,16,8.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.2,2,0,0,0,0,0,1.2,0,7,5,0,0,0,0,0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,1.2,0,0,0,0,1.44,0,0,0.2,0,1,0,5.04,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,4.5,0,3.4,50,0,1.2,0,0,0,0,0,4.8,0,0.6,0,0.02,0,57.8,19.6,0,17,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,16,45.2,0,0,2,0,29,51,0,37,18,30,48,0,55,14,0,0,0,5,0,0
OSRE,2.2,0,0,1,0,9.4,9.4,10,6.8,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,5.22,0,0,0.4,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
PAVI2,0,0,0,0,0,0,0,1.8,0,8,0,0,0,0,0,0,0,0.02,0,0,0,3,0,1.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0.44,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0,0,0,0,0,1.8,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,3.22,0,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.4,0.8,0,48,5,14.6,0,0,1.4,0,0,0,0,0,0,0
PHAU7,0,0,0,0,0,0,0,0,0,1.6,2.4,0,0,0.22,0,14.6,33.4,32.6,0,99,0.04,33,11.2,34,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,52.4,0,0,60,0,0,38,20,64.6,100,48,0,100,100,100,0,100,100,0,0,4.4,15.6,0,0,0,0,0,0,0,0,0,0,66.02,27,100,0,0,0,0,0,0.02,53.02,0,54,0,0,76,0.02,64.02,0,34.02,80,0,14.02,36.42,27,74,37.4,0,20.42,8,4.2,95,87,0,89,0,30,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,18.4,0,0,0,0.22,0,0,0,0,0,0,0,3.6,0,0.04,0,0,0,0.02,0.02,29.4,0,0,0,0,24.4,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.12,0.4,0,0,0,0,0,0,0,0,0,0,0,0,63,0.6,0,7.6,0,14.24,2.42,0,21.2,12,0,4.6,0,0,0,5,0,0,0,69.2,0,0,0,36,0,0,12,9,0,0,62,38,0
QUVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,4,0,18,0,0,1,0,0,25.2,10,0,46,0,2.4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
